variant,condition,n,successes,rate,ci_lo,ci_hi
a,c1,56,56,1.0,0.9358060632812366,1.0
a,c2,54,54,1.0,0.9335864119091035,1.0
a,c3,54,54,1.0,0.9335864119091035,1.0
a,c4,54,54,1.0,0.9335864119091035,1.0
b,c1,54,54,1.0,0.9335864119091035,1.0
b,c2,54,54,1.0,0.9335864119091035,1.0
b,c3,54,54,1.0,0.9335864119091035,1.0
b,c4,54,54,1.0,0.9335864119091035,1.0
c,c1,54,54,1.0,0.9335864119091035,1.0
c,c2,54,54,1.0,0.9335864119091035,1.0
c,c3,54,54,1.0,0.9335864119091035,1.0
c,c4,54,54,1.0,0.9335864119091035,1.0
