condition,comparison,v1,v2,n1,k1,rate1,n2,k2,rate2,fisher_p,cohens_h,h_ci_lo,h_ci_hi,odds_ratio,or_ci_lo,or_ci_hi,p_adjusted,significant
c1,C vs A,c,a,54,54,1.0,56,56,1.0,1.0,0.0,-0.1869061296815309,0.1869061296815309,0.9646017699115044,0.018805773471179715,49.47717656720438,1.0,False
c1,C vs B,c,b,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c1,B vs A,b,a,54,54,1.0,56,56,1.0,1.0,0.0,-0.1869061296815309,0.1869061296815309,0.9646017699115044,0.018805773471179715,49.47717656720438,1.0,False
c2,C vs A,c,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c2,C vs B,c,b,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c2,B vs A,b,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c3,C vs A,c,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c3,C vs B,c,b,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c3,B vs A,b,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c4,C vs A,c,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c4,C vs B,c,b,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c4,B vs A,b,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
