query,skill,variant,condition,n,successes,rate,ci_lo,ci_hi
cherry pick a commit from another branch,git-workflow,a,c1,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,a,c2,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,a,c3,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,a,c4,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,b,c1,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,b,c2,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,b,c3,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,b,c4,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,c,c1,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,c,c2,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,c,c3,3,3,1.0,0.43850296824495444,1.0
cherry pick a commit from another branch,git-workflow,c,c4,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,a,c1,4,4,1.0,0.5101091635454025,1.0
containerize my application,dockerfile-generator,a,c2,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,a,c3,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,a,c4,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,b,c1,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,b,c2,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,b,c3,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,b,c4,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,c,c1,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,c,c2,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,c,c3,3,3,1.0,0.43850296824495444,1.0
containerize my application,dockerfile-generator,c,c4,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,a,c1,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,a,c2,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,a,c3,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,a,c4,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,b,c1,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,b,c2,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,b,c3,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,b,c4,3,3,1.0,0.43850296824495444,1.0
convert svelte 4 to svelte 5,svelte5-runes,c,c1,3,3,1.0,0.43850296824495444,1.0
