skill,variant,condition,n,successes,rate,ci_lo,ci_hi
git-workflow,a,c1,18,18,1.0,0.8241207763533424,1.0
git-workflow,a,c2,18,18,1.0,0.8241207763533424,1.0
git-workflow,a,c3,18,18,1.0,0.8241207763533424,1.0
git-workflow,a,c4,18,18,1.0,0.8241207763533424,1.0
git-workflow,b,c1,18,18,1.0,0.8241207763533424,1.0
git-workflow,b,c2,18,18,1.0,0.8241207763533424,1.0
git-workflow,b,c3,18,18,1.0,0.8241207763533424,1.0
git-workflow,b,c4,18,18,1.0,0.8241207763533424,1.0
git-workflow,c,c1,18,18,1.0,0.8241207763533424,1.0
git-workflow,c,c2,18,18,1.0,0.8241207763533424,1.0
git-workflow,c,c3,18,18,1.0,0.8241207763533424,1.0
git-workflow,c,c4,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,a,c1,19,19,1.0,0.8318207759473837,1.0
svelte5-runes,a,c2,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,a,c3,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,a,c4,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,b,c1,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,b,c2,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,b,c3,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,b,c4,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,c,c1,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,c,c2,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,c,c3,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,c,c4,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,a,c1,19,19,1.0,0.8318207759473837,1.0
dockerfile-generator,a,c2,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,a,c3,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,a,c4,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c1,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c2,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c3,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c4,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c1,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c2,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c3,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c4,18,18,1.0,0.8241207763533424,1.0
