variant,condition,n,successes,rate,ci_lo,ci_hi
a,c1,56,49,0.875,0.7637452344180986,0.9381093130428289
a,c2,54,44,0.8148148148148148,0.6916405221784749,0.8961731445791083
a,c3,54,20,0.37037037037037035,0.2542337519166027,0.5037253264773333
a,c4,54,54,1.0,0.9335864119091035,1.0
b,c1,54,46,0.8518518518518519,0.733998847163941,0.9229693686239465
b,c2,54,44,0.8148148148148148,0.6916405221784749,0.8961731445791083
b,c3,54,54,1.0,0.9335864119091035,1.0
b,c4,54,54,1.0,0.9335864119091035,1.0
c,c1,54,54,1.0,0.9335864119091035,1.0
c,c2,54,51,0.9444444444444444,0.8489278568183385,0.980926731545309
c,c3,54,54,1.0,0.9335864119091035,1.0
c,c4,54,54,1.0,0.9335864119091035,1.0
