condition,comparison,v1,v2,n1,k1,rate1,n2,k2,rate2,fisher_p,cohens_h,h_ci_lo,h_ci_hi,odds_ratio,or_ci_lo,or_ci_hi,p_adjusted,significant
c1,C vs A,c,a,54,54,1.0,56,49,0.875,0.012853390286297773,0.7227342478134156,0.5358281181318847,0.9096403774949464,16.515151515151516,0.9192638801405635,296.70504352537523,0.11568051257667995,False
c1,C vs B,c,b,54,54,1.0,54,46,0.8518518518518519,0.005911307036701311,0.7901993345727787,0.6016017122267501,0.9787969569188073,19.9247311827957,1.1197231716732021,354.547376306808,0.059113070367013104,False
c1,B vs A,b,a,54,46,0.8518518518518519,56,49,0.875,0.7860359822196037,-0.06746508675936314,-0.254371216440894,0.11944104292216776,0.8214285714285714,0.2758274291407135,2.4462574300939526,1.0,False
c2,C vs A,c,a,54,51,0.9444444444444444,54,44,0.8148148148148148,0.07285863150012448,0.41383768901547757,0.22524006666944896,0.6024353113615062,3.8636363636363638,0.9998467204655863,14.92997440993959,0.5828690520009958,False
c2,C vs B,c,b,54,51,0.9444444444444444,54,44,0.8148148148148148,0.07285863150012448,0.41383768901547757,0.22524006666944896,0.6024353113615062,3.8636363636363638,0.9998467204655863,14.92997440993959,0.5828690520009958,False
c2,B vs A,b,a,54,44,0.8148148148148148,54,44,0.8148148148148148,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.37869195138709216,2.640668744971075,1.0,False
c3,C vs A,c,a,54,54,1.0,54,20,0.37037037037037035,4.738876594274405e-14,1.8330514856707532,1.6444538633247245,2.0216491080167818,183.4390243902439,10.742989279026196,3132.263729885684,5.686651913129286e-13,True
c3,C vs B,c,b,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c3,B vs A,b,a,54,54,1.0,54,20,0.37037037037037035,4.738876594274405e-14,1.8330514856707532,1.6444538633247245,2.0216491080167818,183.4390243902439,10.742989279026196,3132.263729885684,5.686651913129286e-13,True
c4,C vs A,c,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c4,C vs B,c,b,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
c4,B vs A,b,a,54,54,1.0,54,54,1.0,1.0,0.0,-0.18859762234602861,0.18859762234602861,1.0,0.019489717959944485,51.30910575798032,1.0,False
